"","Genus_Species","Common Name","Genus","Species","Tribe","Subfamily","Family","n","ows"
"8911","Opogona arizonensis",NA,"Opogona","arizonensis",NA,"Hieroxestinae","Tineidae",1,NA
"8912","Opogona floridensis",NA,"Opogona","floridensis",NA,"Hieroxestinae","Tineidae",1,NA
"8913","Opogona omoscopa",NA,"Opogona","omoscopa",NA,"Hieroxestinae","Tineidae",1,NA
"8914","Opogona purpuriella",NA,"Opogona","purpuriella",NA,"Hieroxestinae","Tineidae",1,NA
"8915","Opogona sacchari","Banana Moth","Opogona","sacchari",NA,"Hieroxestinae","Tineidae",1,NA
"8916","Opostegoides scioterma",NA,"Opostegoides","scioterma",NA,"[Oposteginae]","Opostegidae",1,NA
"8917","Opsigalea blanchardi",NA,"Opsigalea","blanchardi",NA,"Cuculliinae","Noctuidae",1,NA
"8918","Oreana unicolorella",NA,"Oreana","unicolorella","Phycitini","Phycitinae","Pyralidae",1,NA
"8919","Orenaia alticolalis",NA,"Orenaia","alticolalis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8920","Orenaia arcticalis",NA,"Orenaia","arcticalis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8921","Orenaia coloradalis",NA,"Orenaia","coloradalis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8922","Orenaia macneilli",NA,"Orenaia","macneilli","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8923","Orenaia pallidivittalis",NA,"Orenaia","pallidivittalis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8924","Orenaia sierralis",NA,"Orenaia","sierralis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8925","Orenaia trivialis",NA,"Orenaia","trivialis","Glaphyriini","Glaphyriinae","Crambidae",1,NA
"8926","Oreta rosea","Rose Hooktip Moth","Oreta","rosea","Oretini","Drepaninae","Drepanidae",1,NA
"8927","Orgyia antiqua","Rusty Tussock Moth","Orgyia","antiqua","Orgyiini","Lymantriinae","Erebidae",1,NA
"8928","Orgyia cana",NA,"Orgyia","cana","Orgyiini","Lymantriinae","Erebidae",1,NA
"8929","Orgyia definita","Definite Tussock Moth","Orgyia","definita","Orgyiini","Lymantriinae","Erebidae",1,NA
"8930","Orgyia detrita","Fir Tussock Moth","Orgyia","detrita","Orgyiini","Lymantriinae","Erebidae",1,NA
"8931","Orgyia falcata",NA,"Orgyia","falcata","Orgyiini","Lymantriinae","Erebidae",1,NA
"8932","Orgyia leucostigma","White-marked Tussock Moth","Orgyia","leucostigma","Orgyiini","Lymantriinae","Erebidae",1,NA
"8933","Orgyia leuschneri",NA,"Orgyia","leuschneri","Orgyiini","Lymantriinae","Erebidae",1,NA
"8934","Orgyia magna",NA,"Orgyia","magna","Orgyiini","Lymantriinae","Erebidae",1,NA
"8935","Orgyia pseudotsugata","Douglas Fir Tussock Moth","Orgyia","pseudotsugata","Orgyiini","Lymantriinae","Erebidae",1,NA
"8936","Orgyia vetusta","Western Tussock Moth","Orgyia","vetusta","Orgyiini","Lymantriinae","Erebidae",1,NA
"8937","Ornarantia dyari",NA,"Ornarantia","dyari",NA,"Choreutinae","Choreutidae",1,NA
"8938","Ornativalva erubescens",NA,"Ornativalva","erubescens",NA,"Anomologinae","Gelechiidae",1,NA
"8939","Orodesma apicina",NA,"Orodesma","apicina","Melipotini","Erebinae","Erebidae",1,NA
"8940","Orphanostigma haemorrhoidalis","Lantana Leaftier Moth","Orphanostigma","haemorrhoidalis",NA,"Spilomelinae","Crambidae",1,NA
"8941","Orthimella fidelis","Intractable Quaker Moth","Orthimella","fidelis","Orthosiini","Noctuinae","Noctuidae",1,NA
"8942","Orthodes adiastola",NA,"Orthodes","adiastola","Eriopygini","Noctuinae","Noctuidae",1,NA
"8943","Orthodes bolteri",NA,"Orthodes","bolteri","Eriopygini","Noctuinae","Noctuidae",1,NA
"8944","Orthodes cynica","Cynical Quaker Moth","Orthodes","cynica","Eriopygini","Noctuinae","Noctuidae",1,NA
"8945","Orthodes detracta","Disparaged Arches Moth","Orthodes","detracta","Eriopygini","Noctuinae","Noctuidae",1,NA
"8946","Orthodes furtiva",NA,"Orthodes","furtiva","Eriopygini","Noctuinae","Noctuidae",1,NA
"8947","Orthodes goodelli","Goodell's Arches Moth","Orthodes","goodelli","Eriopygini","Noctuinae","Noctuidae",1,NA
"8948","Orthodes majuscula","Rustic Quaker Moth","Orthodes","majuscula","Eriopygini","Noctuinae","Noctuidae",1,NA
"8949","Orthodes noverca",NA,"Orthodes","noverca","Eriopygini","Noctuinae","Noctuidae",1,NA
"8950","Orthodes obscura",NA,"Orthodes","obscura","Eriopygini","Noctuinae","Noctuidae",1,NA
"8951","Orthofidonia exornata",NA,"Orthofidonia","exornata","Boarmiini","Ennominae","Geometridae",1,NA
"8952","Orthofidonia flavivenata","Yellow-veined Geometer Moth","Orthofidonia","flavivenata","Boarmiini","Ennominae","Geometridae",1,NA
"8953","Orthofidonia tinctaria",NA,"Orthofidonia","tinctaria","Boarmiini","Ennominae","Geometridae",1,NA
"8954","Ortholepis baloghi",NA,"Ortholepis","baloghi","Phycitini","Phycitinae","Pyralidae",1,NA
"8955","Ortholepis jugosella",NA,"Ortholepis","jugosella","Phycitini","Phycitinae","Pyralidae",1,NA
"8956","Ortholepis myricella",NA,"Ortholepis","myricella","Phycitini","Phycitinae","Pyralidae",1,NA
"8957","Ortholepis pasadamia","Striped Birch Pyralid Moth","Ortholepis","pasadamia","Phycitini","Phycitinae","Pyralidae",1,NA
"8958","Ortholepis rhodorella",NA,"Ortholepis","rhodorella","Phycitini","Phycitinae","Pyralidae",1,NA
"8959","Orthomoia bloomfieldi",NA,"Orthomoia","bloomfieldi","Apameini","Noctuinae","Noctuidae",1,NA
"8960","Orthonama evansi",NA,"Orthonama","evansi","Xanthorhoini","Larentiinae","Geometridae",1,NA
"8961","Orthonama obstipata","Gem Moth","Orthonama","obstipata","Xanthorhoini","Larentiinae","Geometridae",1,NA
"8962","Orthosia alurina","Gray Quaker Moth","Orthosia","alurina","Orthosiini","Noctuinae","Noctuidae",1,NA
"8963","Orthosia annulimacula",NA,"Orthosia","annulimacula","Orthosiini","Noctuinae","Noctuidae",1,NA
"8964","Orthosia arthrolita",NA,"Orthosia","arthrolita","Orthosiini","Noctuinae","Noctuidae",1,NA
"8965","Orthosia behrensiana",NA,"Orthosia","behrensiana","Orthosiini","Noctuinae","Noctuidae",1,NA
"8966","Orthosia erythrolita",NA,"Orthosia","erythrolita","Orthosiini","Noctuinae","Noctuidae",1,NA
"8967","Orthosia ferrigera",NA,"Orthosia","ferrigera","Orthosiini","Noctuinae","Noctuidae",1,NA
"8968","Orthosia flaviannula",NA,"Orthosia","flaviannula","Orthosiini","Noctuinae","Noctuidae",1,NA
"8969","Orthosia garmani","Garman's Quaker Moth","Orthosia","garmani","Orthosiini","Noctuinae","Noctuidae",1,NA
"8970","Orthosia hibisci","Speckled Green Fruitworm Moth","Orthosia","hibisci","Orthosiini","Noctuinae","Noctuidae",1,NA
"8971","Orthosia mys",NA,"Orthosia","mys","Orthosiini","Noctuinae","Noctuidae",1,NA
"8972","Orthosia pacifica",NA,"Orthosia","pacifica","Orthosiini","Noctuinae","Noctuidae",1,NA
"8973","Orthosia praeses",NA,"Orthosia","praeses","Orthosiini","Noctuinae","Noctuidae",1,NA
"8974","Orthosia pulchella",NA,"Orthosia","pulchella","Orthosiini","Noctuinae","Noctuidae",1,NA
"8975","Orthosia revicta","Subdued Quaker Moth","Orthosia","revicta","Orthosiini","Noctuinae","Noctuidae",1,NA
"8976","Orthosia rubescens","Ruby Quaker Moth","Orthosia","rubescens","Orthosiini","Noctuinae","Noctuidae",1,NA
"8977","Orthosia segregata",NA,"Orthosia","segregata","Orthosiini","Noctuinae","Noctuidae",1,NA
"8978","Orthosia tenuimacula",NA,"Orthosia","tenuimacula","Orthosiini","Noctuinae","Noctuidae",1,NA
"8979","Orthosia terminata",NA,"Orthosia","terminata","Orthosiini","Noctuinae","Noctuidae",1,NA
"8980","Orthosia transparens",NA,"Orthosia","transparens","Orthosiini","Noctuinae","Noctuidae",1,NA
"8981","Orthotaenia undulana","Dusky Leafroller Moth","Orthotaenia","undulana","Olethreutini","Olethreutinae","Tortricidae",1,NA
"8982","Orudiza placidaria",NA,"Orudiza","placidaria",NA,"Epipleminae","Uraniidae",1,NA
"8983","Oruza albocostaliata","White Edge Moth","Oruza","albocostaliata","Aventiini","Boletobiinae","Erebidae",1,NA
"8984","Oruza albocostata",NA,"Oruza","albocostata","Aventiini","Boletobiinae","Erebidae",1,NA
"8985","Oryctometopia fossulatella",NA,"Oryctometopia","fossulatella","Phycitini","Phycitinae","Pyralidae",1,NA
"8986","Oslaria pura",NA,"Oslaria","pura","Psaphidini","Amphipyrinae","Noctuidae",1,NA
"8987","Oslaria viridifera","Green Oslaria Moth","Oslaria","viridifera","Psaphidini","Amphipyrinae","Noctuidae",1,NA
"8988","Osminia bicornicolis",NA,"Osminia","bicornicolis","Osminiini","Sesiinae","Sesiidae",1,NA
"8989","Osminia donahueorum",NA,"Osminia","donahueorum","Osminiini","Sesiinae","Sesiidae",1,NA
"8990","Osminia ruficornis",NA,"Osminia","ruficornis","Osminiini","Sesiinae","Sesiidae",1,NA
"8991","Ostrinia marginalis",NA,"Ostrinia","marginalis",NA,"Pyraustinae","Crambidae",1,NA
"8992","Ostrinia nubilalis","European Corn Borer Moth","Ostrinia","nubilalis",NA,"Pyraustinae","Crambidae",1,NA
"8993","Ostrinia obumbratalis","Smartweed Borer Moth","Ostrinia","obumbratalis",NA,"Pyraustinae","Crambidae",1,NA
"8994","Ostrinia penitalis","American Lotus Borer Moth","Ostrinia","penitalis",NA,"Pyraustinae","Crambidae",1,NA
"8995","Oxycilla malaca","Bent-lined Tan Moth","Oxycilla","malaca",NA,"Rivulinae","Erebidae",1,NA
"8996","Oxycilla mitographa",NA,"Oxycilla","mitographa",NA,"Rivulinae","Erebidae",1,NA
"8997","Oxycilla ondo",NA,"Oxycilla","ondo",NA,"Rivulinae","Erebidae",1,NA
"8998","Oxycilla tripla",NA,"Oxycilla","tripla",NA,"Rivulinae","Erebidae",1,NA
"8999","Oxycnemis acuna",NA,"Oxycnemis","acuna",NA,"Oncocnemidinae","Noctuidae",1,NA
"9000","Oxycnemis advena",NA,"Oxycnemis","advena",NA,"Oncocnemidinae","Noctuidae",1,NA
"9001","Oxycnemis fusimacula",NA,"Oxycnemis","fusimacula",NA,"Oncocnemidinae","Noctuidae",1,NA
"9002","Oxycnemis gracillinea",NA,"Oxycnemis","gracillinea",NA,"Oncocnemidinae","Noctuidae",1,NA
"9003","Oxycnemis grandimacula",NA,"Oxycnemis","grandimacula",NA,"Oncocnemidinae","Noctuidae",1,NA
"9004","Oxydia cubana","Cuban Spanworm Moth","Oxydia","cubana","Ourapterygini","Ennominae","Geometridae",1,NA
"9005","Oxydia gueneei",NA,"Oxydia","gueneei","Ourapterygini","Ennominae","Geometridae",1,NA
"9006","Oxydia masthala",NA,"Oxydia","masthala","Ourapterygini","Ennominae","Geometridae",1,NA
"9007","Oxydia mundata",NA,"Oxydia","mundata","Ourapterygini","Ennominae","Geometridae",1,NA
"9008","Oxydia nimbata",NA,"Oxydia","nimbata","Ourapterygini","Ennominae","Geometridae",1,NA
"9009","Oxydia vesulia","Spurge Spanworm Moth","Oxydia","vesulia","Ourapterygini","Ennominae","Geometridae",1,NA
"9010","Oxyelophila callista",NA,"Oxyelophila","callista","Argyractini","Acentropinae","Crambidae",1,NA
"9011","Oxyptilus delawaricus",NA,"Oxyptilus","delawaricus","Oxyptilini","Pterophorinae","Pterophoridae",1,NA
"9012","Oxyptilus eleanerae",NA,"Oxyptilus","eleanerae","Oxyptilini","Pterophorinae","Pterophoridae",1,NA
"9013","Ozamia clarefacta",NA,"Ozamia","clarefacta","Phycitini","Phycitinae","Pyralidae",1,NA
"9014","Ozamia fuscomaculella",NA,"Ozamia","fuscomaculella","Phycitini","Phycitinae","Pyralidae",1,NA
"9015","Ozamia lucidalis",NA,"Ozamia","lucidalis","Phycitini","Phycitinae","Pyralidae",1,NA
"9016","Ozamia thalassophila",NA,"Ozamia","thalassophila","Phycitini","Phycitinae","Pyralidae",1,NA
"9017","Ozarba aeria","Aerial Brown Moth","Ozarba","aeria",NA,NA,"Noctuidae",1,NA
"9018","Ozarba catilina",NA,"Ozarba","catilina",NA,NA,"Noctuidae",1,NA
"9019","Ozarba nebula",NA,"Ozarba","nebula",NA,NA,"Noctuidae",1,NA
"9020","Ozarba propera",NA,"Ozarba","propera",NA,NA,"Noctuidae",1,NA
"9021","Pachylia ficus","Fig Sphinx Moth","Pachylia","ficus","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"9022","Pachylioides resumens",NA,"Pachylioides","resumens","Dilophonotini","Macroglossinae","Sphingidae",1,NA
"9023","Pachypolia atricornis",NA,"Pachypolia","atricornis","Xylenini","Noctuinae","Noctuidae",1,NA
"9024","Pachysphinx modesta","Big Poplar Sphinx Moth","Pachysphinx","modesta","Smerinthini","Smerinthinae","Sphingidae",1,NA
"9025","Pachysphinx occidentalis","Western Poplar Sphinx Moth","Pachysphinx","occidentalis","Smerinthini","Smerinthinae","Sphingidae",1,NA
"9026","Packardia albipunctata",NA,"Packardia","albipunctata",NA,"Limacodinae","Limacodidae",1,NA
"9027","Packardia ceanothi",NA,"Packardia","ceanothi",NA,"Limacodinae","Limacodidae",1,NA
"9028","Packardia elegans","Elegant Tailed Slug Moth","Packardia","elegans",NA,"Limacodinae","Limacodidae",1,NA
"9029","Packardia geminata","Jeweled Tailed Slug Moth","Packardia","geminata",NA,"Limacodinae","Limacodidae",1,NA
"9030","Paectes abrostolella",NA,"Paectes","abrostolella",NA,"Euteliinae","Euteliidae",1,NA
"9031","Paectes abrostoloides","Large Paectes Moth","Paectes","abrostoloides",NA,"Euteliinae","Euteliidae",1,NA
"9032","Paectes acutangula",NA,"Paectes","acutangula",NA,"Euteliinae","Euteliidae",1,NA
"9033","Paectes asper",NA,"Paectes","asper",NA,"Euteliinae","Euteliidae",1,NA
"9034","Paectes declinata",NA,"Paectes","declinata",NA,"Euteliinae","Euteliidae",1,NA
"9035","Paectes fuscescens",NA,"Paectes","fuscescens",NA,"Euteliinae","Euteliidae",1,NA
"9036","Paectes hercules",NA,"Paectes","hercules",NA,"Euteliinae","Euteliidae",1,NA
"9037","Paectes lunodes",NA,"Paectes","lunodes",NA,"Euteliinae","Euteliidae",1,NA
"9038","Paectes nana",NA,"Paectes","nana",NA,"Euteliinae","Euteliidae",1,NA
"9039","Paectes nubifera",NA,"Paectes","nubifera",NA,"Euteliinae","Euteliidae",1,NA
"9040","Paectes oculatrix","Eyed Paectes Moth","Paectes","oculatrix",NA,"Euteliinae","Euteliidae",1,NA
"9041","Paectes pygmaea","Pygmy Paectes Moth","Paectes","pygmaea",NA,"Euteliinae","Euteliidae",1,NA
"9042","Pagara simplex","Mouse-colored Lichen Moth","Pagara","simplex","Arctiini","Arctiinae","Erebidae",1,NA
"9043","Palatka nymphaeella",NA,"Palatka","nymphaeella","Phycitini","Phycitinae","Pyralidae",1,NA
"9044","Palatka powelli",NA,"Palatka","powelli","Phycitini","Phycitinae","Pyralidae",1,NA
"9045","Paleacrita longiciliata",NA,"Paleacrita","longiciliata","Bistonini","Ennominae","Geometridae",1,NA
"9046","Paleacrita merriccata","White-spotted Cankerworm Moth","Paleacrita","merriccata","Bistonini","Ennominae","Geometridae",1,NA
"9047","Paleacrita vernata","Spring Cankerworm Moth","Paleacrita","vernata","Bistonini","Ennominae","Geometridae",1,NA
"9048","Paleophobetron perornata",NA,"Paleophobetron","perornata",NA,"Limacodinae","Limacodidae",1,NA
"9049","Palmia praecedens",NA,"Palmia","praecedens","Synanthedonini","Sesiinae","Sesiidae",1,NA
"9050","Palpidia pallidior",NA,"Palpidia","pallidior",NA,"Scolecocampinae","Erebidae",1,NA
"9051","Palpita aenescentalis",NA,"Palpita","aenescentalis",NA,"Spilomelinae","Crambidae",1,NA
"9052","Palpita arsaltealis",NA,"Palpita","arsaltealis",NA,"Spilomelinae","Crambidae",1,NA
"9053","Palpita atrisquamalis","Gracile Palpita Moth","Palpita","atrisquamalis",NA,"Spilomelinae","Crambidae",1,NA
"9054","Palpita cincinnatalis",NA,"Palpita","cincinnatalis",NA,"Spilomelinae","Crambidae",1,NA
"9055","Palpita flegia","Satin White Palpita Moth","Palpita","flegia",NA,"Spilomelinae","Crambidae",1,NA
"9056","Palpita freemanalis","Freeman's Palpita Moth","Palpita","freemanalis",NA,"Spilomelinae","Crambidae",1,NA
"9057","Palpita illibalis","Inkblot Palpita Moth","Palpita","illibalis",NA,"Spilomelinae","Crambidae",1,NA
"9058","Palpita kimballi","Kimball's Palpita Moth","Palpita","kimballi",NA,"Spilomelinae","Crambidae",1,NA
"9059","Palpita magniferalis","Splendid Palpita Moth","Palpita","magniferalis",NA,"Spilomelinae","Crambidae",1,NA
"9060","Palpita maritima","Coastal Palpita Moth","Palpita","maritima",NA,"Spilomelinae","Crambidae",1,NA
"9061","Palpita persimilis","Olive Shootworm Moth","Palpita","persimilis",NA,"Spilomelinae","Crambidae",1,NA
"9062","Palpita quadristigmalis","Four-spotted Palpita Moth","Palpita","quadristigmalis",NA,"Spilomelinae","Crambidae",1,NA
"9063","Palpusia glaucusalis",NA,"Palpusia","glaucusalis","Spilomelinae-unplaced","Spilomelinae","Crambidae",1,NA
"9064","Palpusia goniopalpia",NA,"Palpusia","goniopalpia","Spilomelinae-unplaced","Spilomelinae","Crambidae",1,NA
"9065","Palthis angulalis","Dark-spotted Palthis Moth","Palthis","angulalis",NA,"Herminiinae","Erebidae",1,NA
"9066","Palthis asopialis","Faint-spotted Palthis Moth","Palthis","asopialis",NA,"Herminiinae","Erebidae",1,NA
"9067","Pammene bowmanana",NA,"Pammene","bowmanana","Grapholitini","Olethreutinae","Tortricidae",1,NA
"9068","Pammene felicitana",NA,"Pammene","felicitana","Grapholitini","Olethreutinae","Tortricidae",1,NA
"9069","Pammene medioalbana",NA,"Pammene","medioalbana","Grapholitini","Olethreutinae","Tortricidae",1,NA
"9070","Pammene ocliferia",NA,"Pammene","ocliferia","Grapholitini","Olethreutinae","Tortricidae",1,NA
"9071","Pammene paula",NA,"Pammene","paula","Grapholitini","Olethreutinae","Tortricidae",1,NA
"9072","Pammene perstructana",NA,"Pammene","perstructana","Grapholitini","Olethreutinae","Tortricidae",1,NA
"9073","Pandemis borealis",NA,"Pandemis","borealis","Archipini","Tortricinae","Tortricidae",1,NA
"9074","Pandemis canadana","Green Aspen Leaftier Moth","Pandemis","canadana","Archipini","Tortricinae","Tortricidae",1,NA
"9075","Pandemis cerasana","Barred Fruit-tree Tortrix Moth","Pandemis","cerasana","Archipini","Tortricinae","Tortricidae",1,NA
"9076","Pandemis coniferana",NA,"Pandemis","coniferana","Archipini","Tortricinae","Tortricidae",1,NA
"9077","Pandemis heparana","Dark Fruit-tree Tortrix Moth","Pandemis","heparana","Archipini","Tortricinae","Tortricidae",1,NA
"9078","Pandemis lamprosana","Woodgrain Leafroller Moth","Pandemis","lamprosana","Archipini","Tortricinae","Tortricidae",1,NA
"9079","Pandemis limitata","Three-lined Leafroller Moth","Pandemis","limitata","Archipini","Tortricinae","Tortricidae",1,NA
"9080","Pandemis morrisana",NA,"Pandemis","morrisana","Archipini","Tortricinae","Tortricidae",1,NA
"9081","Pandemis pyrusana","Pandemis Leafroller Moth","Pandemis","pyrusana","Archipini","Tortricinae","Tortricidae",1,NA
"9082","Pangrapta decoralis","Decorated Owlet Moth","Pangrapta","decoralis",NA,"Pangraptinae","Erebidae",1,NA
"9083","Panopoda carneicosta","Brown Panopoda Moth","Panopoda","carneicosta",NA,"Eulepidotinae","Erebidae",1,NA
"9084","Panopoda repanda","Orange Panopoda Moth","Panopoda","repanda",NA,"Eulepidotinae","Erebidae",1,NA
"9085","Panopoda rigida",NA,"Panopoda","rigida",NA,"Eulepidotinae","Erebidae",1,NA
"9086","Panopoda rufimargo","Red-lined Panopoda Moth","Panopoda","rufimargo",NA,"Eulepidotinae","Erebidae",1,NA
"9087","Panoquina errans",NA,"Panoquina","errans","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9088","Panoquina evansi",NA,"Panoquina","evansi","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9089","Panoquina hecebolus",NA,"Panoquina","hecebolus","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9090","Panoquina lucas",NA,"Panoquina","lucas","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9091","Panoquina ocola",NA,"Panoquina","ocola","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9092","Panoquina panoquin",NA,"Panoquina","panoquin","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9093","Panoquina panoquinoides",NA,"Panoquina","panoquinoides","Calpodini","Hesperiinae","Hesperiidae",1,NA
"9094","Panthea acronyctoides","Black Zigzag","Panthea","acronyctoides",NA,"Pantheinae","Noctuidae",1,NA
"9095","Panthea furcilla","Eastern Panthea Moth","Panthea","furcilla",NA,"Pantheinae","Noctuidae",1,NA
"9096","Panthea gigantea",NA,"Panthea","gigantea",NA,"Pantheinae","Noctuidae",1,NA
"9097","Panthea greyi",NA,"Panthea","greyi",NA,"Pantheinae","Noctuidae",1,NA
"9098","Panthea judyae",NA,"Panthea","judyae",NA,"Pantheinae","Noctuidae",1,NA
"9099","Panthea virginarius",NA,"Panthea","virginarius",NA,"Pantheinae","Noctuidae",1,NA
"9100","Panthiades bathildis",NA,"Panthiades","bathildis","Eumaeini","Theclinae","Lycaenidae",1,NA
"9101","Pantographa limata","Basswood Leafroller Moth","Pantographa","limata",NA,"Spilomelinae","Crambidae",1,NA
"9102","Pantographa suffusalis",NA,"Pantographa","suffusalis",NA,"Spilomelinae","Crambidae",1,NA
"9103","Panula inconstans",NA,"Panula","inconstans","Melipotini","Erebinae","Erebidae",1,NA
"9104","Paonias astylus","Huckleberry Sphinx Moth","Paonias","astylus","Smerinthini","Smerinthinae","Sphingidae",1,NA
"9105","Paonias excaecata","Blind-eyed Sphinx Moth","Paonias","excaecata","Smerinthini","Smerinthinae","Sphingidae",1,NA
"9106","Paonias myops","Small-eyed Sphinx Moth","Paonias","myops","Smerinthini","Smerinthinae","Sphingidae",1,NA
"9107","Paota fultaria",NA,"Paota","fultaria","Sterrhini","Sterrhinae","Geometridae",1,NA
"9108","Papaipema aerata",NA,"Papaipema","aerata","Apameini","Noctuinae","Noctuidae",1,NA
"9109","Papaipema angelica","Angelica Borer Moth","Papaipema","angelica","Apameini","Noctuinae","Noctuidae",1,NA
"9110","Papaipema appassionata","Pitcher-plant Borer Moth","Papaipema","appassionata","Apameini","Noctuinae","Noctuidae",1,NA
"9111","Papaipema araliae","Aralia Shoot Borer Moth","Papaipema","araliae","Apameini","Noctuinae","Noctuidae",1,NA
"9112","Papaipema arctivorens","Northern Burdock Borer Moth","Papaipema","arctivorens","Apameini","Noctuinae","Noctuidae",1,NA
"9113","Papaipema astuta","Yellow Stoneroot Borer Moth","Papaipema","astuta","Apameini","Noctuinae","Noctuidae",1,NA
"9114","Papaipema aweme","Aweme Borer Moth","Papaipema","aweme","Apameini","Noctuinae","Noctuidae",1,NA
"9115","Papaipema baptisiae","Indigo Stem Borer Moth","Papaipema","baptisiae","Apameini","Noctuinae","Noctuidae",1,NA
"9116","Papaipema beeriana","Blazing Star Borer Moth","Papaipema","beeriana","Apameini","Noctuinae","Noctuidae",1,NA
"9117","Papaipema cataphracta","Burdock Borer Moth","Papaipema","cataphracta","Apameini","Noctuinae","Noctuidae",1,NA
"9118","Papaipema cerina","Golden Borer Moth","Papaipema","cerina","Apameini","Noctuinae","Noctuidae",1,NA
"9119","Papaipema cerussata","Ironweed Borer Moth","Papaipema","cerussata","Apameini","Noctuinae","Noctuidae",1,NA
"9120","Papaipema circumlucens","Hop Stalk Borer Moth","Papaipema","circumlucens","Apameini","Noctuinae","Noctuidae",1,NA
"9121","Papaipema dribi","Rare Borer Moth","Papaipema","dribi","Apameini","Noctuinae","Noctuidae",1,NA
"9122","Papaipema duovata","Seaside Goldenrod Borer Moth","Papaipema","duovata","Apameini","Noctuinae","Noctuidae",1,NA
"9123","Papaipema duplicatus","Dark Stoneroot Borer Moth","Papaipema","duplicatus","Apameini","Noctuinae","Noctuidae",1,NA
"9124","Papaipema eryngii","Rattlesnake-master Borer Moth","Papaipema","eryngii","Apameini","Noctuinae","Noctuidae",1,NA
"9125","Papaipema eupatorii","Eupatorium Borer Moth","Papaipema","eupatorii","Apameini","Noctuinae","Noctuidae",1,NA
"9126","Papaipema furcata","Ash Tip Borer Moth","Papaipema","furcata","Apameini","Noctuinae","Noctuidae",1,NA
"9127","Papaipema harrisii","Heracleum Stem Borer Moth","Papaipema","harrisii","Apameini","Noctuinae","Noctuidae",1,NA
"9128","Papaipema impecuniosa","Aster Borer Moth","Papaipema","impecuniosa","Apameini","Noctuinae","Noctuidae",1,NA
"9129","Papaipema inquaesita","Sensitive Fern Borer Moth","Papaipema","inquaesita","Apameini","Noctuinae","Noctuidae",1,NA
"9130","Papaipema insulidens","Ragwort Stem Borer Moth","Papaipema","insulidens","Apameini","Noctuinae","Noctuidae",1,NA
"9131","Papaipema leucostigma","Columbine Borer Moth","Papaipema","leucostigma","Apameini","Noctuinae","Noctuidae",1,NA
"9132","Papaipema limata",NA,"Papaipema","limata","Apameini","Noctuinae","Noctuidae",1,NA
"9133","Papaipema limpida","Vernonia Borer Moth","Papaipema","limpida","Apameini","Noctuinae","Noctuidae",1,NA
"9134","Papaipema lysimachiae","Loosestrife Borer Moth","Papaipema","lysimachiae","Apameini","Noctuinae","Noctuidae",1,NA
"9135","Papaipema marginidens","Brick-red Borer Moth","Papaipema","marginidens","Apameini","Noctuinae","Noctuidae",1,NA
"9136","Papaipema maritima","Maritime Sunflower Borer Moth","Papaipema","maritima","Apameini","Noctuinae","Noctuidae",1,NA
"9137","Papaipema nebris","Stalk Borer Moth","Papaipema","nebris","Apameini","Noctuinae","Noctuidae",1,NA
"9138","Papaipema necopina","Sunflower Borer Moth","Papaipema","necopina","Apameini","Noctuinae","Noctuidae",1,NA
"9139","Papaipema nelita","Coneflower Borer Moth","Papaipema","nelita","Apameini","Noctuinae","Noctuidae",1,NA
"9140","Papaipema nepheleptena","Turtle Head Borer Moth","Papaipema","nepheleptena","Apameini","Noctuinae","Noctuidae",1,NA
"9141","Papaipema polymniae","Cup Plant Borer Moth","Papaipema","polymniae","Apameini","Noctuinae","Noctuidae",1,NA
"9142","Papaipema pterisii","Bracken Borer Moth","Papaipema","pterisii","Apameini","Noctuinae","Noctuidae",1,NA
"9143","Papaipema rigida","Rigid Sunflower Borer Moth","Papaipema","rigida","Apameini","Noctuinae","Noctuidae",1,NA
"9144","Papaipema rutila","Mayapple Borer Moth","Papaipema","rutila","Apameini","Noctuinae","Noctuidae",1,NA
"9145","Papaipema sauzalitae","Figwort Stem Borer Moth","Papaipema","sauzalitae","Apameini","Noctuinae","Noctuidae",1,NA
"9146","Papaipema sciata","Culver's Root Borer Moth","Papaipema","sciata","Apameini","Noctuinae","Noctuidae",1,NA
"9147","Papaipema silphii","Silphius Borer Moth","Papaipema","silphii","Apameini","Noctuinae","Noctuidae",1,NA
"9148","Papaipema speciosissima","Osmunda Borer Moth","Papaipema","speciosissima","Apameini","Noctuinae","Noctuidae",1,NA
"9149","Papaipema stenocelis","Chain Fern Borer Moth","Papaipema","stenocelis","Apameini","Noctuinae","Noctuidae",1,NA
"9150","Papaipema sulphurata","Water Willow Sten Borer Moth","Papaipema","sulphurata","Apameini","Noctuinae","Noctuidae",1,NA
